,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0,0,0.8150077,0.7463197,0.7291667,0.7243681,172.57968,144.0,0.30424652,6,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.82253087,0.7716493,0.6458333,0.5994546,345.09033,144.0,0.6442565,6,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.8267747,0.7229102,0.7222222,0.72200775,180.59659,144.0,0.2624498,6,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.8429784,0.80508476,0.6805556,0.6442535,349.74118,144.0,0.5940089,6,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.89429015,0.71492535,0.5555556,0.4544163,169.72319,144.0,0.27871263,7,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.92785496,0.8046683,0.7152778,0.69274,335.44748,144.0,0.5814649,7,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.93441355,0.75768423,0.6180556,0.5582083,181.42326,144.0,0.2626146,7,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.9247685,0.81578946,0.7083333,0.6812144,353.1085,144.0,0.57489794,7,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.9971065,0.97258687,0.9722222,0.97221684,159.9138,144.0,0.282361,8,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.99691355,0.9444444,0.9375,0.9372549,326.91022,144.0,0.62830794,8,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.9984568,0.9861111,0.9861111,0.9861111,174.37831,144.0,0.2923067,8,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.9978781,0.95,0.9444444,0.94427246,342.39224,144.0,0.6378543,8,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.95910496,0.9030888,0.9027778,0.902759,176.94896,144.0,0.28962508,9,session_E,22,2,001-2014,ACM+MDM(MDOP)
1,1,0.7503858,0.6944444,0.6944444,0.6944444,349.26102,144.0,0.6488715,9,session_T,22,2,001-2014,ACM+MDM(MDOP)
2,2,0.96450615,0.9030888,0.9027778,0.902759,190.0564,144.0,0.36265,9,session_E,22,2,001-2014,ACM+TGSP+SVM(MDOP)
3,3,0.8009259,0.74347824,0.7430556,0.742944,364.1042,144.0,0.7224779,9,session_T,22,2,001-2014,ACM+TGSP+SVM(MDOP)
0,0,0.9523534,0.8888889,0.8888889,0.8888889,43.536694,144.0,0.27777037,1,session_E,22,2,001-2014,EEGNet_8_2
1,1,0.9265046,0.7922078,0.7777778,0.775,92.86261,144.0,0.5884852,1,session_T,22,2,001-2014,EEGNet_8_2
2,2,0.95968366,0.75174826,0.5069444,0.34858236,25.905336,144.0,0.16948794,1,session_E,22,2,001-2014,DeepConvNet
3,3,0.95621145,0.25,0.5,0.33333334,50.86356,144.0,0.33256364,1,session_T,22,2,001-2014,DeepConvNet
4,4,0.96199846,0.89927405,0.8819444,0.8806494,42.65986,144.0,0.2772566,1,session_E,22,2,001-2014,ShallowConvNet
5,5,0.9376929,0.86348015,0.8263889,0.8218439,95.18989,144.0,0.62128425,1,session_T,22,2,001-2014,ShallowConvNet
0,0,0.6109182,0.60384613,0.5833333,0.5616883,20.286247,144.0,0.11160133,2,session_E,22,2,001-2014,EEGNet_8_2
1,1,0.5509259,0.6111111,0.5833333,0.5555556,40.37951,144.0,0.21825415,2,session_T,22,2,001-2014,EEGNet_8_2
2,2,0.5590278,0.25,0.5,0.33333334,20.665829,144.0,0.12284129,2,session_E,22,2,001-2014,DeepConvNet
3,3,0.5779321,0.24825175,0.49305555,0.33023256,39.823826,144.0,0.23278299,2,session_T,22,2,001-2014,DeepConvNet
4,4,0.7532793,0.725,0.7222222,0.72136223,124.27233,144.0,0.7838551,2,session_E,22,2,001-2014,ShallowConvNet
5,5,0.6452546,0.6,0.5972222,0.5944056,161.17978,144.0,1.0074615,2,session_T,22,2,001-2014,ShallowConvNet
0,0,0.9984568,0.9186047,0.9027778,0.90185004,36.199593,144.0,0.20302188,3,session_E,22,2,001-2014,EEGNet_8_2
